cutoff,cutoff_days,n,n_pos,prevalence,pr_auc,roc_auc,f1,precision,recall,f1_best,threshold_best,threshold,median_obs_seen,n_empty
-50d,-50.0,2434,118,0.04847986852917009,0.09668932920328875,0.7261606803079536,0.11228070175438597,0.09580838323353294,0.13559322033898305,0.17369093231162197,0.1662461966974337,0.5,72.0,16
-20d,-20.0,2434,118,0.04847986852917009,0.12333792499814042,0.7780034249582858,0.16778523489932887,0.1388888888888889,0.211864406779661,0.21875,0.21990880383115402,0.5,75.0,5
-10d,-10.0,2434,118,0.04847986852917009,0.12229882040702705,0.7725659377652879,0.20952380952380953,0.16751269035532995,0.2796610169491525,0.21836228287841192,0.4107175450968276,0.5,76.0,4
+0d,0.0,2434,118,0.04847986852917009,0.15671665516044156,0.8052750212230322,0.1987179487179487,0.15979381443298968,0.2627118644067797,0.2330708661417323,0.20194306592028355,0.5,79.0,0
+20d,20.0,2434,118,0.04847986852917009,0.1657167079087411,0.8232084833582155,0.25,0.20430107526881722,0.3220338983050847,0.2516129032258065,0.4950575933765704,0.5,82.0,0
+50d,50.0,2434,118,0.04847986852917009,0.18391499528474248,0.8357776411697551,0.2553191489361702,0.21951219512195122,0.3050847457627119,0.27922077922077926,0.46138679290048273,0.5,87.0,0
+100d,100.0,2434,118,0.04847986852917009,0.1850408968763586,0.8314708293082755,0.2569444444444444,0.21764705882352942,0.3135593220338983,0.28205128205128205,0.46138679290048273,0.5,91.0,0
full,,2434,118,0.04847986852917009,0.22774366361980874,0.843652117912239,0.31141868512110726,0.2631578947368421,0.3813559322033898,0.31612903225806455,0.4778738567545905,0.5,149.0,0
