cutoff,cutoff_days,n,n_pos,prevalence,pr_auc,roc_auc,f1,precision,recall,f1_best,threshold_best,threshold,median_obs_seen,n_empty,mode,seed,fold,best_epoch
-10d,-10.0,486,23,0.047325102880658436,0.28576201086070796,0.8548220490186871,0.2222222222222222,0.1322314049586777,0.6956521739130435,0.33333333333333337,0.6826819181442261,0.5,81.0,1,finetune,0,1,11
+0d,0.0,486,23,0.047325102880658436,0.3316930661735094,0.8854352521363509,0.32432432432432434,0.20454545454545456,0.782608695652174,0.4,0.7467949390411377,0.5,84.0,0,finetune,0,1,11
+20d,20.0,486,23,0.047325102880658436,0.4465645843832107,0.9259085360127712,0.4421052631578947,0.2916666666666667,0.9130434782608695,0.48275862068965525,0.6820234060287476,0.5,87.0,0,finetune,0,1,11
+50d,50.0,486,23,0.047325102880658436,0.5756832032438485,0.9447835477509625,0.547945205479452,0.4,0.8695652173913043,0.6666666666666666,0.8167173266410828,0.5,92.0,0,finetune,0,1,11
+100d,100.0,486,23,0.047325102880658436,0.6805268138385889,0.9433749647854258,0.5526315789473685,0.39622641509433965,0.9130434782608695,0.6792452830188679,0.8214925527572632,0.5,97.0,0,finetune,0,1,11
full,,486,23,0.047325102880658436,0.6635248622591131,0.9482580523992863,0.5970149253731343,0.45454545454545453,0.8695652173913043,0.7017543859649124,0.7255635261535645,0.5,152.0,0,finetune,0,1,11
-50d,-50.0,488,24,0.04918032786885246,0.1250308937063541,0.8083692528735632,0.1990521327014218,0.11229946524064172,0.875,0.22666666666666666,0.6638872623443604,0.5,72.0,5,finetune,0,2,11
-20d,-20.0,488,24,0.04918032786885246,0.14391149461004127,0.8254310344827587,0.2198952879581152,0.12574850299401197,0.875,0.23728813559322032,0.6776688098907471,0.5,75.0,1,finetune,0,2,11
-10d,-10.0,488,24,0.04918032786885246,0.15228729756895015,0.8382722701149425,0.21621621621621623,0.12422360248447205,0.8333333333333334,0.2833333333333333,0.6367672085762024,0.5,76.0,1,finetune,0,2,11
+0d,0.0,488,24,0.04918032786885246,0.3245407514318979,0.907507183908046,0.3111111111111111,0.1891891891891892,0.875,0.4516129032258065,0.7171227931976318,0.5,78.0,0,finetune,0,2,11
