experiment,plasticc_data,mallorn_mode,metric,-50d,-20d,-10d,+0d,+20d,+50d,+100d,full,-50d_mean,-20d_mean,-10d_mean,+0d_mean,+20d_mean,+50d_mean,+100d_mean,full_mean,-50d_std,-20d_std,-10d_std,+0d_std,+20d_std,+50d_std,+100d_std,full_std
original pre-training,"PLAsTiCC training set (7,848 objects)",frozen,pr_auc,0.122 +/- 0.006,0.138 +/- 0.006,0.157 +/- 0.012,0.202 +/- 0.003,0.236 +/- 0.008,0.316 +/- 0.006,0.340 +/- 0.011,0.442 +/- 0.025,0.12152416882947033,0.13756942498721128,0.15676714020665494,0.2019019113243116,0.23604997317468757,0.31572037539686276,0.3401855647252405,0.4418017406961298,0.0055824464837364515,0.005767093478143668,0.012224246300342542,0.0032457242785244272,0.008430020187600073,0.006338735632681706,0.010701822013046711,0.02521669466870808
original pre-training,"PLAsTiCC training set (7,848 objects)",frozen,roc_auc,0.760 +/- 0.003,0.776 +/- 0.002,0.792 +/- 0.005,0.830 +/- 0.006,0.848 +/- 0.011,0.896 +/- 0.010,0.902 +/- 0.009,0.916 +/- 0.008,0.7597205146219373,0.7757725671574797,0.7920935667378979,0.8303389342622678,0.8480223549271586,0.8963059726979109,0.9016214884419855,0.9156591824985608,0.0027055376218224963,0.0021761425916574247,0.005102234826957539,0.005930662626841936,0.011402562925394419,0.009502944467574718,0.009492609008832602,0.008024889832648922
full-PLAsTiCC pre-training,full PLAsTiCC release,frozen,pr_auc,0.155 +/- 0.007,0.177 +/- 0.008,0.210 +/- 0.011,0.284 +/- 0.005,0.428 +/- 0.009,0.536 +/- 0.004,0.610 +/- 0.005,0.635 +/- 0.013,0.15513495416254208,0.17708439420722433,0.2098394694567417,0.28404382450572635,0.42814400827395843,0.5356063966657135,0.609859534363498,0.6353806049133983,0.0073954414356650995,0.008388110389156432,0.010827291451377402,0.005320634425074491,0.008521864119376676,0.0038135720135663645,0.005093140956546758,0.0130876890753856
full-PLAsTiCC pre-training,full PLAsTiCC release,frozen,roc_auc,0.782 +/- 0.002,0.812 +/- 0.004,0.830 +/- 0.004,0.876 +/- 0.005,0.928 +/- 0.002,0.951 +/- 0.001,0.959 +/- 0.001,0.972 +/- 0.001,0.7821791175121726,0.8118742864670239,0.829757130450904,0.8759330815842628,0.9275465199106194,0.9509125903808436,0.95867241396134,0.9719569343208141,0.00174036161966739,0.003994201488714899,0.0039791672456091715,0.005114435495452782,0.002320503850622362,0.0009132404029064914,0.0007547628344805919,0.001154380508890896
original pre-training,"PLAsTiCC training set (7,848 objects)",finetune,pr_auc,0.122 +/- 0.010,0.135 +/- 0.014,0.144 +/- 0.010,0.176 +/- 0.013,0.242 +/- 0.026,0.300 +/- 0.039,0.325 +/- 0.038,0.417 +/- 0.057,0.12234146432689219,0.1352504324331694,0.14360463769358142,0.17592784634629566,0.242498034388231,0.2999593093830402,0.32503965990821965,0.41725482478083165,0.009590257011907025,0.013775066046237534,0.009674885026626959,0.013480001069689435,0.026452252864060354,0.0391111383816387,0.03797676495507398,0.05715854829136515
original pre-training,"PLAsTiCC training set (7,848 objects)",finetune,roc_auc,0.769 +/- 0.007,0.773 +/- 0.008,0.779 +/- 0.005,0.800 +/- 0.009,0.831 +/- 0.015,0.867 +/- 0.017,0.875 +/- 0.016,0.901 +/- 0.025,0.7692361172096835,0.7734758447742553,0.7793817023311185,0.8002266229520995,0.8313720324346477,0.8671182049705806,0.8749646282798121,0.9007969614472645,0.006679590506516661,0.00777826867651889,0.004884607504970611,0.008811868838511035,0.015419350533842652,0.01730178425372508,0.015815943342375453,0.025198633506633622
full-PLAsTiCC pre-training,full PLAsTiCC release,finetune,pr_auc,0.136 +/- 0.012,0.162 +/- 0.001,0.183 +/- 0.006,0.269 +/- 0.012,0.400 +/- 0.020,0.489 +/- 0.014,0.551 +/- 0.011,0.628 +/- 0.017,0.13552265745575084,0.16156473946323494,0.18274379124431098,0.26901743231118647,0.400117430567757,0.48862610778950977,0.5512519763647087,0.627975061866036,0.011542843070630616,0.000983831333553814,0.006327101250343118,0.012201034780287938,0.020111807984388802,0.013686596969453622,0.010774468973429131,0.01713647761721003
full-PLAsTiCC pre-training,full PLAsTiCC release,finetune,roc_auc,0.778 +/- 0.005,0.790 +/- 0.007,0.811 +/- 0.006,0.854 +/- 0.007,0.904 +/- 0.012,0.935 +/- 0.003,0.939 +/- 0.003,0.948 +/- 0.003,0.7784821628953095,0.7904811041831327,0.8113126079447323,0.8540404262170312,0.9044292711961983,0.9348452914141858,0.9393301815910933,0.9482780070841018,0.005065938877643114,0.0069673656508082785,0.006237019432734611,0.006720391300469106,0.012437035346256044,0.003398292459661728,0.002745490075300824,0.003316960573167862
