mode,seed,cutoff,roc_tde_vs_agn,roc_tde_vs_other,experiment
scratch,0,-50d,0.7865395776332776,0.506042325002394,original
scratch,0,-20d,0.7558540311978111,0.48505218806856265,original
scratch,0,-10d,0.7396866005756316,0.5135018672795174,original
scratch,0,+0d,0.7007722465029789,0.5647227808101121,original
scratch,0,+20d,0.6702258702578499,0.5617447093747008,original
scratch,0,+50d,0.6693316277582347,0.4984295700469214,original
scratch,0,+100d,0.7015598905589312,0.4667528487982381,original
scratch,0,full,0.80466427412382,0.499358421909413,original
scratch,1,-50d,0.7793915597721162,0.46730824475725363,original
scratch,1,-20d,0.7725129990879911,0.4671550320789045,original
scratch,1,-10d,0.7638903694228286,0.48178684286124684,original
scratch,1,+0d,0.7562626585651849,0.5361869194675859,original
scratch,1,+20d,0.7453185516824787,0.5482141147179929,original
scratch,1,+50d,0.733693399187483,0.495777075553002,original
scratch,1,+100d,0.7454399554655391,0.4639662932107632,original
scratch,1,full,0.8224780584870127,0.5086277889495355,original
scratch,2,-50d,0.781257032536214,0.46516326726036583,original
scratch,2,-20d,0.728091058759431,0.43693383127453794,original
scratch,2,-10d,0.6869203709625841,0.4859427367614671,original
scratch,2,+0d,0.5750689928815929,0.5551661399980848,original
scratch,2,+20d,0.4991057575003849,0.5689552810495069,original
scratch,2,+50d,0.4840842601475796,0.44998563631140476,original
scratch,2,+100d,0.5572907413329543,0.37948865268600973,original
scratch,2,full,0.8183088749126485,0.4792301062912956,original
frozen,0,-50d,0.9141793696478699,0.5143541128028345,original
frozen,0,-20d,0.9187068424356559,0.5484056305659293,original
frozen,0,-10d,0.9183219036113183,0.5990807239299052,original
frozen,0,+0d,0.9284013786732048,0.6869290433783396,original
frozen,0,+20d,0.9352414454748961,0.739442688882505,original
frozen,0,+50d,0.9502244489452675,0.8349803696255864,original
frozen,0,+100d,0.9481635457011216,0.8510198218902615,original
frozen,0,full,0.9522853521894137,0.8804175045485014,original
frozen,1,-50d,0.9117276054436272,0.505764627022886,original
frozen,1,-20d,0.9150291961292921,0.5440486450253758,original
frozen,1,-10d,0.9165867178339197,0.5759743368763764,original
frozen,1,+0d,0.9256061305949378,0.6604328258163362,original
frozen,1,+20d,0.9208328891731514,0.7040314085990615,original
frozen,1,+50d,0.9373911807554277,0.8061285071339654,original
frozen,1,+100d,0.9356086178919565,0.8216412908168149,original
frozen,1,full,0.9460671096424214,0.8513837020013406,original
frozen,2,-50d,0.9170575276267635,0.5090970027769798,original
frozen,2,-20d,0.9213540371199469,0.5431772479172652,original
frozen,2,-10d,0.9211289959611034,0.5871780139806569,original
frozen,2,+0d,0.9291653341861209,0.6712534712247439,original
frozen,2,+20d,0.9252685688566724,0.7169300009575792,original
frozen,2,+50d,0.9449892809342761,0.8154744805132624,original
frozen,2,+100d,0.9441364933849743,0.833247151201762,original
frozen,2,full,0.9455222731525899,0.8584985157521785,original
finetune,0,-50d,0.9122309869831456,0.5390117782246482,original
